dpid,dp_name,taxon_type,site_id,field_domain_id,field_site_name,site_type,field_dominant_nlcd_classes,min_year,max_year,n_years,areaKm2,query_date
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,ARIK,D10,Arikaree River,Wadeable Stream,Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands,2014,2020,7,0.40915498919,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,BARC,D03,Ordway-Swisher Biological Station - Barco Lake,Lake,Shrub/Scrub,2014,2020,7,0.119733,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,BIGC,D17,Upper Big Creek,Wadeable Stream,Evergreen Forest,2018,2020,3,2.67142367476,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,BLDE,D12,Blacktail Deer Creek,Wadeable Stream,Emergent Herbaceous Wetlands|Shrub/Scrub,2018,2020,3,0.15751924304,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,BLUE,D11,Blue River,Non-wadeable River,Grassland/Herbaceous|Pasture/Hay,2017,2020,4,0.27099930994,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,BLWA,D08,Black Warrior River near Dead Lake,Non-wadeable River,Woody Wetlands,2016,2020,5,0.12137104561,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,CARI,D19,"Caribou Creek, Caribou-Poker Creeks Research Watershed",Wadeable Stream,Woody Wetlands,2016,2020,5,0.44187954121,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,COMO,D13,Como Creek,Wadeable Stream,Shrub/Scrub,2015,2020,6,0.4113027443,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,CRAM,D05,Crampton Lake,Lake,Woody Wetlands,2015,2020,6,0.265836,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,CUPE,D04,Rio Cupeyes,Wadeable Stream,Evergreen Forest,2015,2020,6,0.23068260117,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,FLNT,D03,Flint River,Non-wadeable River,Mixed Forest,2017,2020,4,0.41109826801,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,GUIL,D04,Rio Guilarte,Wadeable Stream,Evergreen Forest|Grassland/Herbaceous,2015,2020,6,0.39871927692,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,HOPB,D01,Lower Hop Brook,Wadeable Stream,Evergreen Forest|Mixed Forest,2016,2020,5,0.31972397454,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,KING,D06,Kings Creek,Wadeable Stream,Deciduous Forest,2015,2020,6,0.27455940575,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,LECO,D07,LeConte Creek,Wadeable Stream,Deciduous Forest,2015,2020,6,0.39756788466,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,LEWI,D02,Lewis Run,Wadeable Stream,Deciduous Forest,2016,2020,5,0.26955141011,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,LIRO,D05,Little Rock Lake,Lake,Deciduous Forest|Mixed Forest,2017,2020,4,0.192374,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,MART,D16,Martha Creek,Wadeable Stream,Evergreen Forest,2018,2020,3,0.39867403159,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,MAYF,D08,Mayfield Creek,Wadeable Stream,Deciduous Forest|Mixed Forest,2015,2020,6,0.40659785258,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,MCDI,D06,McDiffett Creek,Wadeable Stream,Cultivated Crops|Grassland/Herbaceous,2017,2020,4,0.13359802998,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,MCRA,D16,McRae Creek,Wadeable Stream,Evergreen Forest,2017,2020,4,0.40338653655,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,OKSR,D18,Oksrukuyik Creek,Wadeable Stream,Shrub/Scrub,2016,2020,5,0.39148336156,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,POSE,D02,Posey Creek,Wadeable Stream,Deciduous Forest,2014,2020,7,0.39458563883,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,PRIN,D11,Pringle Creek,Wadeable Stream,Deciduous Forest|Grassland/Herbaceous,2016,2020,5,0.35468194023,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,PRLA,D09,Prairie Lake at Dakota Coteau Field School,Lake,Grassland/Herbaceous,2014,2020,7,0.309582,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,PRPO,D09,Prairie Pothole,Lake,Grassland/Herbaceous,2014,2020,7,0.114716,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,REDB,D15,Red Butte Creek,Wadeable Stream,Deciduous Forest,2015,2020,6,0.39894388726,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,SUGG,D03,Ordway-Swisher Biological Station - Suggs Lake,Lake,Evergreen Forest|Woody Wetlands,2014,2020,7,0.307362,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,SYCA,D14,Sycamore Creek,Wadeable Stream,Shrub/Scrub,2017,2020,4,0.39236480794,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,TECR,D17,Teakettle 2 Creek,Wadeable Stream,Evergreen Forest,2019,2019,1,0.24255126697,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,TOMB,D08,Lower Tombigbee River at Choctaw Refuge,Non-wadeable River,Mixed Forest,2016,2020,5,0.2250270652,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,TOOK,D18,Toolik Lake,Lake,Dwarf Scrub,2016,2020,5,1.478303,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,WALK,D07,Walker Branch,Wadeable Stream,Deciduous Forest,2015,2020,6,0.51767190335,2020-12-11
DP1.20166.001,"Periphyton, seston, and phytoplankton collection",algae,WLOU,D13,West St Louis Creek,Wadeable Stream,Evergreen Forest,2017,2020,4,0.39442941723,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,ABBY,D16,Abby Road,Terrestrial,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,2016,2020,5,29.868771,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,BARR,D18,Utqiaġvik,Terrestrial,Emergent Herbaceous Wetlands,2017,2019,3,50.076533,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,BART,D01,Bartlett Experimental Forest,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest,2014,2020,7,15.657434,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,BLAN,D02,Blandy Experimental Farm,Terrestrial,Deciduous Forest|Pasture/Hay,2015,2020,6,5.7282589999999995,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,BONA,D19,Caribou-Poker Creeks Research Watershed,Terrestrial,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,2017,2020,4,49.633223,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,CLBJ,D11,LBJ National Grassland,Terrestrial,Deciduous Forest|Grassland/Herbaceous,2016,2020,5,41.883456,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,CPER,D10,Central Plains Experimental Range,Terrestrial,Grassland/Herbaceous,2013,2020,8,65.398127,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,DCFS,D09,Dakota Coteau Field School,Terrestrial,Grassland/Herbaceous,2017,2020,4,7.798688,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,DEJU,D19,Delta Junction,Terrestrial,Evergreen Forest|Shrub/Scrub|Woody Wetlands,2016,2020,5,29.903834,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,DELA,D08,Dead Lake,Terrestrial,Evergreen Forest|Woody Wetlands,2015,2020,6,4.103929,2020-12-11
DP1.10022.001,Ground beetles sampled from pitfall traps,beetle,DSNY,D03,Disney Wilderness Preserve,Terrestrial,Pasture/Hay|Woody Wetlands,2013,2020,8,48.504342,2020-12-11
