"1","Otu0001","2016-03-11","Kingdom","k__Bacteria(100)","Katherine McMahon"
"6209","Otu0001","2016-03-11","Phylum","p__Verrucomicrobia(100)","Katherine McMahon"
"12417","Otu0001","2016-03-11","Class","c__[Spartobacteria](99)","Katherine McMahon"
"18625","Otu0001","2016-03-11","Order","o__[Chthoniobacterales](99)","Katherine McMahon"
"24833","Otu0001","2016-03-11","Lineage","f__[Chthoniobacteraceae](99)","Katherine McMahon"
"31041","Otu0001","2016-03-11","Clade","g__CandidatusXiphinematobacter(94)","Katherine McMahon"
"37249","Otu0001","2016-03-11","Tribe","unclassified","Katherine McMahon"
