keyword	keywordThesaurus
communities	LTER Controlled Vocabulary
community composition	LTER Controlled Vocabulary
community dynamics	LTER Controlled Vocabulary
community patterns	LTER Controlled Vocabulary
species composition	LTER Controlled Vocabulary
species diversity	LTER Controlled Vocabulary
species richness	LTER Controlled Vocabulary
ecocomDP	EDI Controlled Vocabulary
