location_ancillary_id,location_id,datetime,variable_name,value,unit
loan_127,lo_5,2005-06-13,treatment,Logged,
loan_128,lo_5,2005-06-15,treatment,Logged,
loan_129,lo_5,2005-01-08,treatment,Logged,
loan_130,lo_5,2005-03-08,treatment,Logged,
loan_131,lo_5,2006-12-07,treatment,Logged,
loan_132,lo_5,2006-04-08,treatment,Logged,
loan_133,lo_5,2006-08-08,treatment,Logged,
loan_134,lo_5,2007-07-23,treatment,Logged,
loan_136,lo_5,2008-11-07,treatment,Logged,
loan_137,lo_5,2009-07-17,treatment,Logged,
loan_138,lo_5,2010-07-23,treatment,Logged,
loan_139,lo_5,2011-07-20,treatment,Logged,
loan_140,lo_6,2012-11-07,treatment,HemlockControl,
loan_141,lo_6,2013-07-17,treatment,HemlockControl,
loan_142,lo_6,2014-07-07,treatment,HemlockControl,
loan_143,lo_6,2015-06-29,treatment,HemlockControl,
loan_148,lo_6,2003-01-06,treatment,HemlockControl,
loan_149,lo_6,2004-07-16,treatment,HemlockControl,
loan_150,lo_6,2005-06-13,treatment,HemlockControl,
loan_151,lo_6,2005-06-15,treatment,HemlockControl,
loan_152,lo_6,2005-03-08,treatment,HemlockControl,
loan_153,lo_6,2006-12-07,treatment,HemlockControl,
loan_154,lo_6,2006-04-08,treatment,HemlockControl,
loan_155,lo_6,2006-08-08,treatment,HemlockControl,
loan_156,lo_6,2007-07-23,treatment,HemlockControl,
loan_157,lo_6,2007-07-25,treatment,HemlockControl,
loan_158,lo_6,2008-11-07,treatment,HemlockControl,
loan_159,lo_6,2009-07-17,treatment,HemlockControl,
loan_160,lo_6,2010-07-23,treatment,HemlockControl,
loan_161,lo_6,2011-07-20,treatment,HemlockControl,
loan_162,lo_8,2003-01-06,treatment,Logged,
loan_163,lo_8,2011-07-20,treatment,Logged,
loan_164,lo_9,2003-01-06,treatment,Girdled,
loan_165,lo_7,2012-11-07,treatment,HardwoodControl,
loan_166,lo_7,2013-07-17,treatment,HardwoodControl,
loan_167,lo_7,2014-07-07,treatment,HardwoodControl,
loan_171,lo_7,2003-01-06,treatment,HardwoodControl,
loan_172,lo_7,2004-09-08,treatment,HardwoodControl,
loan_173,lo_7,2005-06-27,treatment,HardwoodControl,
loan_174,lo_7,2005-06-29,treatment,HardwoodControl,
loan_175,lo_7,2005-07-20,treatment,HardwoodControl,
loan_176,lo_7,2005-07-27,treatment,HardwoodControl,
loan_177,lo_7,2006-12-07,treatment,HardwoodControl,
loan_178,lo_7,2006-04-08,treatment,HardwoodControl,
loan_179,lo_7,2006-08-08,treatment,HardwoodControl,
loan_180,lo_7,2007-07-23,treatment,HardwoodControl,
loan_181,lo_7,2007-07-25,treatment,HardwoodControl,
loan_182,lo_7,2008-11-07,treatment,HardwoodControl,
loan_183,lo_7,2009-07-17,treatment,HardwoodControl,
loan_184,lo_7,2010-07-23,treatment,HardwoodControl,
loan_185,lo_7,2011-07-20,treatment,HardwoodControl,
loan_186,lo_10,2012-11-07,moose.cage,Exterior,
loan_187,lo_10,2013-07-17,moose.cage,Exterior,
loan_188,lo_10,2014-07-07,moose.cage,Exterior,
loan_189,lo_10,2015-06-29,moose.cage,Exterior,
loan_194,lo_10,2003-01-06,moose.cage,"",
loan_195,lo_10,2004-07-16,moose.cage,"",
loan_196,lo_10,2005-06-20,moose.cage,"",
loan_197,lo_10,2005-06-22,moose.cage,"",
loan_198,lo_10,2005-07-18,moose.cage,"",
loan_199,lo_10,2005-07-20,moose.cage,"",
loan_200,lo_10,2006-06-07,moose.cage,"",
loan_201,lo_10,2006-03-08,moose.cage,"",
loan_202,lo_10,2007-07-17,moose.cage,"",
loan_203,lo_10,2007-07-19,moose.cage,"",
loan_204,lo_10,2008-11-07,moose.cage,"",
loan_205,lo_10,2009-07-17,moose.cage,"",
loan_206,lo_10,2010-07-23,moose.cage,"",
loan_207,lo_11,2012-11-07,moose.cage,Exterior,
loan_208,lo_11,2013-07-17,moose.cage,Exterior,
loan_209,lo_11,2014-07-07,moose.cage,Exterior,
loan_210,lo_11,2015-06-29,moose.cage,Exterior,
loan_215,lo_11,2003-01-06,moose.cage,"",
loan_216,lo_11,2004-07-16,moose.cage,"",
loan_217,lo_11,2005-06-20,moose.cage,"",
loan_218,lo_11,2005-06-22,moose.cage,"",
loan_219,lo_11,2005-07-18,moose.cage,"",
loan_220,lo_11,2005-07-20,moose.cage,"",
loan_221,lo_11,2006-06-07,moose.cage,"",
loan_222,lo_11,2006-12-07,moose.cage,"",
loan_223,lo_11,2006-03-08,moose.cage,"",
loan_224,lo_11,2007-07-17,moose.cage,"",
loan_225,lo_11,2007-07-19,moose.cage,"",
loan_226,lo_11,2008-11-07,moose.cage,"",
loan_227,lo_11,2009-07-17,moose.cage,"",
loan_228,lo_11,2010-07-23,moose.cage,"",
loan_229,lo_11,2011-07-20,moose.cage,"",
loan_230,lo_12,2006-12-07,moose.cage,"",
loan_231,lo_12,2012-11-07,moose.cage,Exterior,
loan_232,lo_12,2013-07-17,moose.cage,Exterior,
loan_233,lo_12,2014-07-07,moose.cage,Exterior,
loan_234,lo_12,2015-06-29,moose.cage,Exterior,
loan_239,lo_12,2003-01-06,moose.cage,"",
loan_240,lo_12,2004-09-08,moose.cage,"",
loan_241,lo_12,2005-06-20,moose.cage,"",
loan_242,lo_12,2005-06-22,moose.cage,"",
loan_243,lo_12,2005-07-18,moose.cage,"",
loan_244,lo_12,2005-07-20,moose.cage,"",
loan_245,lo_12,2006-06-07,moose.cage,"",
loan_247,lo_12,2006-03-08,moose.cage,"",
loan_248,lo_12,2007-07-17,moose.cage,"",
loan_249,lo_12,2007-07-19,moose.cage,"",
loan_250,lo_12,2008-11-07,moose.cage,"",
loan_251,lo_12,2009-07-17,moose.cage,"",
loan_252,lo_12,2010-07-23,moose.cage,"",
loan_253,lo_12,2011-07-20,moose.cage,"",
loan_254,lo_13,2012-11-07,moose.cage,Exterior,
loan_255,lo_13,2013-07-17,moose.cage,Exterior,
loan_256,lo_13,2014-07-07,moose.cage,Exterior,
loan_257,lo_13,2015-06-29,moose.cage,Exterior,
loan_262,lo_13,2003-01-06,moose.cage,"",
loan_263,lo_13,2004-09-08,moose.cage,"",
loan_264,lo_13,2005-06-27,moose.cage,"",
loan_265,lo_13,2005-06-29,moose.cage,"",
loan_266,lo_13,2005-07-20,moose.cage,"",
loan_267,lo_13,2005-07-27,moose.cage,"",
loan_268,lo_13,2006-06-07,moose.cage,"",
loan_269,lo_13,2006-03-08,moose.cage,"",
loan_270,lo_13,2007-07-17,moose.cage,"",
loan_271,lo_13,2007-07-19,moose.cage,"",
loan_272,lo_13,2008-11-07,moose.cage,"",
loan_273,lo_13,2009-07-17,moose.cage,"",
loan_274,lo_13,2010-07-23,moose.cage,"",
loan_275,lo_13,2011-07-20,moose.cage,"",
loan_276,lo_14,2015-06-29,moose.cage,Exterior,
loan_278,lo_4,2012-11-07,moose.cage,Exterior,
loan_279,lo_4,2013-07-17,moose.cage,Exterior,
loan_280,lo_4,2014-07-07,moose.cage,Exterior,
loan_281,lo_4,2015-06-29,moose.cage,Exterior,
loan_286,lo_4,2003-01-06,moose.cage,"",
loan_287,lo_4,2004-07-16,moose.cage,"",
loan_288,lo_4,2005-06-13,moose.cage,"",
loan_289,lo_4,2005-06-15,moose.cage,"",
loan_290,lo_4,2005-03-08,moose.cage,"",
loan_291,lo_4,2006-06-07,moose.cage,"",
loan_292,lo_4,2006-12-07,moose.cage,"",
loan_293,lo_4,2006-04-08,moose.cage,"",
loan_294,lo_4,2006-08-08,moose.cage,"",
loan_295,lo_4,2007-07-23,moose.cage,"",
loan_296,lo_4,2007-07-25,moose.cage,"",
loan_297,lo_4,2008-11-07,moose.cage,"",
loan_298,lo_4,2009-07-17,moose.cage,"",
loan_299,lo_4,2010-07-23,moose.cage,"",
loan_300,lo_4,2011-07-20,moose.cage,"",
loan_301,lo_5,2007-07-25,moose.cage,"",
loan_302,lo_5,2012-11-07,moose.cage,Exterior,
loan_303,lo_5,2013-07-17,moose.cage,Exterior,
loan_304,lo_5,2014-07-07,moose.cage,Exterior,
loan_305,lo_5,2015-06-29,moose.cage,Exterior,
loan_310,lo_5,2003-01-06,moose.cage,"",
loan_311,lo_5,2004-07-16,moose.cage,"",
loan_312,lo_5,2005-06-13,moose.cage,"",
loan_313,lo_5,2005-06-15,moose.cage,"",
loan_314,lo_5,2005-01-08,moose.cage,"",
loan_315,lo_5,2005-03-08,moose.cage,"",
loan_316,lo_5,2006-12-07,moose.cage,"",
loan_317,lo_5,2006-04-08,moose.cage,"",
loan_318,lo_5,2006-08-08,moose.cage,"",
loan_319,lo_5,2007-07-23,moose.cage,"",
loan_321,lo_5,2008-11-07,moose.cage,"",
loan_322,lo_5,2009-07-17,moose.cage,"",
loan_323,lo_5,2010-07-23,moose.cage,"",
loan_324,lo_5,2011-07-20,moose.cage,"",
loan_325,lo_6,2012-11-07,moose.cage,Exterior,
loan_326,lo_6,2013-07-17,moose.cage,Exterior,
loan_327,lo_6,2014-07-07,moose.cage,Exterior,
loan_328,lo_6,2015-06-29,moose.cage,Exterior,
loan_333,lo_6,2003-01-06,moose.cage,"",
loan_334,lo_6,2004-07-16,moose.cage,"",
loan_335,lo_6,2005-06-13,moose.cage,"",
loan_336,lo_6,2005-06-15,moose.cage,"",
loan_337,lo_6,2005-03-08,moose.cage,"",
loan_338,lo_6,2006-12-07,moose.cage,"",
loan_339,lo_6,2006-04-08,moose.cage,"",
loan_340,lo_6,2006-08-08,moose.cage,"",
loan_341,lo_6,2007-07-23,moose.cage,"",
loan_342,lo_6,2007-07-25,moose.cage,"",
loan_343,lo_6,2008-11-07,moose.cage,"",
loan_344,lo_6,2009-07-17,moose.cage,"",
loan_345,lo_6,2010-07-23,moose.cage,"",
loan_346,lo_6,2011-07-20,moose.cage,"",
loan_347,lo_8,2003-01-06,moose.cage,"",
loan_348,lo_8,2011-07-20,moose.cage,"",
loan_349,lo_9,2003-01-06,moose.cage,"",
loan_350,lo_7,2012-11-07,moose.cage,Exterior,
loan_351,lo_7,2013-07-17,moose.cage,Exterior,
loan_352,lo_7,2014-07-07,moose.cage,Exterior,
loan_356,lo_7,2003-01-06,moose.cage,"",
loan_357,lo_7,2004-09-08,moose.cage,"",
loan_358,lo_7,2005-06-27,moose.cage,"",
loan_359,lo_7,2005-06-29,moose.cage,"",
loan_360,lo_7,2005-07-20,moose.cage,"",
loan_361,lo_7,2005-07-27,moose.cage,"",
loan_362,lo_7,2006-12-07,moose.cage,"",
loan_363,lo_7,2006-04-08,moose.cage,"",
loan_364,lo_7,2006-08-08,moose.cage,"",
loan_365,lo_7,2007-07-23,moose.cage,"",
loan_366,lo_7,2007-07-25,moose.cage,"",
loan_367,lo_7,2008-11-07,moose.cage,"",
loan_368,lo_7,2009-07-17,moose.cage,"",
loan_369,lo_7,2010-07-23,moose.cage,"",
loan_370,lo_7,2011-07-20,moose.cage,"",
