taxon_id,taxon_rank,taxon_name,authority_system,authority_taxon_id
tx_1,species,Stigmatomma pallipes,NA,NA
tx_2,species,Aphaenogaster fulva,IT IS,578383
tx_3,species,Aphaenogaster picea,IT IS,578440
tx_4,species,Aphaenogaster rudis,NA,NA
tx_5,species,Aphaenogaster tennesseensis,IT IS,578480
tx_6,species,Aphaenogaster treate,NA,NA
tx_7,species,Brachymyrmex depilis,IT IS,575553
tx_8,species,Camponotus americanus,IT IS,575620
tx_9,species,Camponotus castaenus,NA,NA
tx_10,species,Camponotus chromaoides,NA,NA
tx_11,species,Camponotus herculenus,NA,NA
tx_12,species,Camponotus nearctica,NA,NA
tx_13,species,Camponotus novaeboracensis,IT IS,685607
tx_14,species,Camponotus pennsylvanicus,IT IS,154198
tx_15,species,Camponotus subbarbatus,IT IS,576433
tx_16,species,Crematogaster cerasi,IT IS,578947
tx_17,species,Crematogaster lineolata,IT IS,579090
tx_18,species,Dolichoderus mariae,IT IS,574827
tx_19,species,Dolichoderus plagiatus,IT IS,574845
tx_20,species,Dolichoderus taschenbergi,IT IS,574873
tx_21,species,Formica argentea,IT IS,576688
tx_22,species,Formica aserva,IT IS,576689
tx_23,species,Formica dificilis,NA,NA
tx_24,species,Formica dolosa,NA,NA
tx_25,species,Formica exscetoides,NA,NA
tx_26,species,Formica glacialis,IT IS,576759
tx_27,species,Formica incerta,NA,NA
tx_28,species,Formica integra,IT IS,576779
tx_29,species,Formica lasioides,IT IS,576787
tx_30,species,Formica neoniger,NA,NA
tx_31,species,Formica neorufibarbis,IT IS,576826
tx_32,species,Formica obscuriventris,IT IS,576836
tx_33,species,Formica palidefulva,NA,NA
tx_34,species,Formica pergandei,IT IS,576860
tx_35,species,Formica querquetulana,IT IS,576887
tx_36,species,Formica rubicunda,IT IS,576887
tx_37,species,Formica subaenescens<ca><ca><ca>,IT IS,576921
tx_38,species,Formica subintegra,IT IS,576924
tx_39,species,Formica subsericea,IT IS,576930
tx_40,species,Lasius alienus,IT IS,154218
tx_41,species,Lasius claviger,NA,NA
tx_42,species,Lasius flavipes,NA,NA
tx_43,species,Lasius interjectus,NA,NA
tx_44,species,Lasius latipes,NA,NA
tx_45,species,Lasius murphyi,NA,NA
tx_46,species,Lasius nearcticus,IT IS,577027
tx_47,species,Lasius neoniger,IT IS,577029
tx_48,species,Lasius palipes,NA,NA
tx_49,species,Lasius speculiventris,IT IS,577059
tx_50,species,Lasius subglaber,NA,NA
tx_51,species,Lasius umbratus,IT IS,577067
tx_52,species,Monomorium emarginatum,IT IS,580097
tx_53,species,Monomorium viridae,NA,NA
tx_54,species,Myrmica americana,IT IS,580355
tx_55,species,Myrmicina americanus,NA,NA
tx_56,species,Myrmica detritinodis,NA,NA
tx_57,species,Myrmica fracticornis,IT IS,580392
tx_58,species,Myrmica incompleta,IT IS,580399
tx_59,species,Myrmica lobifrons,IT IS,580424
tx_60,species,Myrmica nearctica,IT IS,580436
tx_61,species,Myrmica pinetorum,IT IS,580444
tx_62,species,Myrmica punctiventris,IT IS,580446
tx_63,species,Myrmica sculptilis,NA,NA
tx_64,species,Nylanderia parvula,NA,NA
tx_65,species,Pheidole pelifera,NA,NA
tx_66,species,Ponera pennsylvanica,IT IS,583962
tx_67,species,Prenolepis imparis,IT IS,577971
tx_68,species,Protomagnathus americanus,NA,NA
tx_69,species,Proceratium crassicorne,NA,NA
tx_70,species,Solenopsis molesta,IT IS,154240
tx_71,species,Solenopsis texana,IT IS,582012
tx_72,species,Stenamma brevicorne,IT IS,582036
tx_73,species,Stenamma diecki,IT IS,582041
tx_74,species,Stenamma impar,IT IS,582052
tx_75,species,Stenamma schmittii,NA,NA
tx_77,species,Tapinoma sesile,NA,NA
tx_78,species,Temnothorax ambigus,NA,NA
tx_79,species,Temnothorax curvispinosus,NA,NA
tx_80,species,Temnothorax longispinosus,NA,NA
tx_81,species,Temnothorax schmitti,NA,NA
tx_82,species,Tetramorium caespitum,IT IS,154247
