observation_ancillary_id,event_id,variable_name,value,unit
oban_468,ev_468,trap.type,bait,
oban_474,ev_474,trap.type,litter,
oban_478,ev_478,trap.type,hand,
oban_479,ev_479,trap.type,hand,
oban_481,ev_481,trap.type,hand,
oban_482,ev_482,trap.type,pitfall,
oban_483,ev_483,trap.type,bait,
oban_484,ev_484,trap.type,pitfall,
oban_485,ev_485,trap.type,bait,
oban_487,ev_487,trap.type,bait,
oban_489,ev_489,trap.type,pitfall,
oban_491,ev_491,trap.type,pitfall,
oban_493,ev_493,trap.type,pitfall,
oban_495,ev_495,trap.type,pitfall,
oban_498,ev_498,trap.type,pitfall,
oban_501,ev_501,trap.type,pitfall,
oban_503,ev_503,trap.type,pitfall,
oban_508,ev_508,trap.type,hand,
oban_525,ev_525,trap.type,pitfall,
oban_526,ev_526,trap.type,pitfall,
oban_530,ev_530,trap.type,pitfall,
oban_543,ev_543,trap.type,bait,
oban_574,ev_574,trap.type,pitfall,
oban_576,ev_576,trap.type,pitfall,
oban_590,ev_590,trap.type,hand,
oban_591,ev_591,trap.type,hand,
oban_594,ev_594,trap.type,pitfall,
oban_595,ev_595,trap.type,pitfall,
oban_603,ev_603,trap.type,pitfall,
oban_608,ev_608,trap.type,pitfall,
oban_609,ev_609,trap.type,pitfall,
oban_617,ev_617,trap.type,hand,
oban_618,ev_618,trap.type,hand,
oban_619,ev_619,trap.type,hand,
oban_620,ev_620,trap.type,bait,
oban_624,ev_624,trap.type,pitfall,
oban_628,ev_628,trap.type,pitfall,
oban_629,ev_629,trap.type,bait,
oban_631,ev_631,trap.type,hand,
oban_633,ev_633,trap.type,hand,
oban_634,ev_634,trap.type,hand,
oban_635,ev_635,trap.type,bait,
oban_636,ev_636,trap.type,hand,
oban_637,ev_637,trap.type,hand,
oban_638,ev_638,trap.type,hand,
oban_639,ev_639,trap.type,pitfall,
oban_641,ev_641,trap.type,pitfall,
oban_649,ev_649,trap.type,pitfall,
oban_650,ev_650,trap.type,pitfall,
oban_651,ev_651,trap.type,pitfall,
oban_669,ev_669,trap.type,hand,
oban_670,ev_670,trap.type,hand,
oban_671,ev_671,trap.type,hand,
oban_675,ev_675,trap.type,bait,
oban_676,ev_676,trap.type,bait,
oban_677,ev_677,trap.type,bait,
oban_684,ev_684,trap.type,hand,
oban_685,ev_685,trap.type,bait,
oban_686,ev_686,trap.type,bait,
oban_689,ev_689,trap.type,bait,
oban_693,ev_693,trap.type,hand,
oban_694,ev_694,trap.type,pitfall,
oban_700,ev_700,trap.type,pitfall,
oban_701,ev_701,trap.type,pitfall,
oban_703,ev_703,trap.type,pitfall,
oban_712,ev_712,trap.type,hand,
oban_713,ev_713,trap.type,hand,
oban_719,ev_719,trap.type,litter,
oban_725,ev_725,trap.type,pitfall,
oban_726,ev_726,trap.type,pitfall,
oban_731,ev_731,trap.type,pitfall,
oban_741,ev_741,trap.type,pitfall,
oban_743,ev_743,trap.type,pitfall,
oban_746,ev_746,trap.type,pitfall,
oban_747,ev_747,trap.type,pitfall,
oban_753,ev_753,trap.type,pitfall,
oban_760,ev_760,trap.type,pitfall,
oban_766,ev_766,trap.type,hand,
oban_769,ev_769,trap.type,litter,
oban_772,ev_772,trap.type,hand,
oban_774,ev_774,trap.type,hand,
oban_775,ev_775,trap.type,bait,
oban_777,ev_777,trap.type,bait,
oban_780,ev_780,trap.type,bait,
oban_782,ev_782,trap.type,hand,
oban_783,ev_783,trap.type,hand,
oban_784,ev_784,trap.type,litter,
oban_786,ev_786,trap.type,bait,
oban_788,ev_788,trap.type,bait,
oban_792,ev_792,trap.type,hand,
oban_793,ev_793,trap.type,hand,
oban_794,ev_794,trap.type,hand,
oban_797,ev_797,trap.type,hand,
oban_802,ev_802,trap.type,hand,
oban_806,ev_806,trap.type,hand,
oban_807,ev_807,trap.type,hand,
oban_808,ev_808,trap.type,hand,
oban_814,ev_814,trap.type,hand,
oban_815,ev_815,trap.type,hand,
oban_816,ev_816,trap.type,hand,
oban_817,ev_817,trap.type,hand,
oban_818,ev_818,trap.type,hand,
oban_827,ev_827,trap.type,hand,
oban_828,ev_828,trap.type,hand,
oban_829,ev_829,trap.type,hand,
oban_831,ev_831,trap.type,hand,
oban_832,ev_832,trap.type,pitfall,
oban_833,ev_833,trap.type,pitfall,
oban_837,ev_837,trap.type,pitfall,
oban_841,ev_841,trap.type,pitfall,
oban_878,ev_878,trap.type,pitfall,
oban_881,ev_881,trap.type,pitfall,
oban_884,ev_884,trap.type,bait,
oban_891,ev_891,trap.type,pitfall,
oban_892,ev_892,trap.type,pitfall,
oban_918,ev_918,trap.type,bait,
oban_931,ev_931,trap.type,pitfall,
oban_935,ev_935,trap.type,hand,
oban_936,ev_936,trap.type,hand,
oban_937,ev_937,trap.type,hand,
oban_941,ev_941,trap.type,litter,
oban_942,ev_942,trap.type,hand,
oban_944,ev_944,trap.type,hand,
oban_946,ev_946,trap.type,hand,
oban_947,ev_947,trap.type,hand,
oban_949,ev_949,trap.type,hand,
oban_953,ev_953,trap.type,hand,
oban_955,ev_955,trap.type,hand,
oban_957,ev_957,trap.type,hand,
oban_960,ev_960,trap.type,hand,
oban_963,ev_963,trap.type,hand,
oban_972,ev_972,trap.type,litter,
oban_975,ev_975,trap.type,pitfall,
oban_976,ev_976,trap.type,pitfall,
oban_978,ev_978,trap.type,pitfall,
oban_980,ev_980,trap.type,bait,
oban_981,ev_981,trap.type,bait,
oban_983,ev_983,trap.type,bait,
oban_987,ev_987,trap.type,pitfall,
oban_993,ev_993,trap.type,pitfall,
oban_994,ev_994,trap.type,pitfall,
oban_998,ev_998,trap.type,bait,
oban_999,ev_999,trap.type,pitfall,
oban_1000,ev_1000,trap.type,pitfall,
oban_1001,ev_1001,trap.type,pitfall,
oban_1002,ev_1002,trap.type,pitfall,
oban_1003,ev_1003,trap.type,pitfall,
oban_1008,ev_1008,trap.type,pitfall,
oban_1011,ev_1011,trap.type,pitfall,
oban_1018,ev_1018,trap.type,pitfall,
oban_1019,ev_1019,trap.type,pitfall,
oban_1029,ev_1029,trap.type,pitfall,
oban_1033,ev_1033,trap.type,hand,
oban_1036,ev_1036,trap.type,pitfall,
oban_1037,ev_1037,trap.type,pitfall,
oban_1038,ev_1038,trap.type,pitfall,
oban_1039,ev_1039,trap.type,pitfall,
oban_1040,ev_1040,trap.type,pitfall,
oban_1043,ev_1043,trap.type,pitfall,
oban_1056,ev_1056,trap.type,pitfall,
oban_1057,ev_1057,trap.type,pitfall,
oban_1059,ev_1059,trap.type,pitfall,
oban_1063,ev_1063,trap.type,pitfall,
oban_1064,ev_1064,trap.type,pitfall,
oban_1073,ev_1073,trap.type,pitfall,
oban_1080,ev_1080,trap.type,pitfall,
oban_1082,ev_1082,trap.type,pitfall,
oban_1083,ev_1083,trap.type,pitfall,
oban_1086,ev_1086,trap.type,pitfall,
oban_1104,ev_1104,trap.type,pitfall,
oban_1105,ev_1105,trap.type,pitfall,
oban_1123,ev_1123,trap.type,hand,
oban_1124,ev_1124,trap.type,pitfall,
oban_1125,ev_1125,trap.type,pitfall,
oban_1128,ev_1128,trap.type,pitfall,
oban_1130,ev_1130,trap.type,pitfall,
oban_1133,ev_1133,trap.type,pitfall,
oban_1151,ev_1151,trap.type,litter,
oban_1156,ev_1156,trap.type,bait,
oban_1159,ev_1159,trap.type,hand,
oban_1160,ev_1160,trap.type,hand,
oban_1163,ev_1163,trap.type,pitfall,
oban_1164,ev_1164,trap.type,pitfall,
oban_1165,ev_1165,trap.type,pitfall,
oban_1167,ev_1167,trap.type,pitfall,
oban_1168,ev_1168,trap.type,pitfall,
oban_1170,ev_1170,trap.type,pitfall,
oban_1193,ev_1193,trap.type,litter,
oban_1199,ev_1199,trap.type,hand,
oban_1200,ev_1200,trap.type,hand,
oban_1202,ev_1202,trap.type,pitfall,
oban_1203,ev_1203,trap.type,pitfall,
oban_1204,ev_1204,trap.type,pitfall,
oban_1205,ev_1205,trap.type,pitfall,
oban_1209,ev_1209,trap.type,pitfall,
oban_1211,ev_1211,trap.type,pitfall,
oban_1213,ev_1213,trap.type,pitfall,
oban_1214,ev_1214,trap.type,pitfall,
oban_1215,ev_1215,trap.type,pitfall,
oban_1216,ev_1216,trap.type,pitfall,
oban_1219,ev_1219,trap.type,pitfall,
oban_1220,ev_1220,trap.type,pitfall,
oban_1241,ev_1241,trap.type,pitfall,
oban_1242,ev_1242,trap.type,pitfall,
oban_1245,ev_1245,trap.type,pitfall,
oban_1246,ev_1246,trap.type,pitfall,
oban_1250,ev_1250,trap.type,pitfall,
oban_1251,ev_1251,trap.type,pitfall,
oban_1252,ev_1252,trap.type,pitfall,
oban_1253,ev_1253,trap.type,pitfall,
oban_1254,ev_1254,trap.type,pitfall,
oban_1264,ev_1264,trap.type,pitfall,
oban_1265,ev_1265,trap.type,pitfall,
oban_1267,ev_1267,trap.type,pitfall,
oban_1279,ev_1279,trap.type,pitfall,
oban_1286,ev_1286,trap.type,pitfall,
oban_1287,ev_1287,trap.type,pitfall,
oban_1295,ev_1295,trap.type,pitfall,
oban_1300,ev_1300,trap.type,pitfall,
oban_1303,ev_1303,trap.type,pitfall,
oban_1311,ev_1311,trap.type,pitfall,
oban_1312,ev_1312,trap.type,pitfall,
oban_1315,ev_1315,trap.type,pitfall,
oban_1318,ev_1318,trap.type,pitfall,
oban_1320,ev_1320,trap.type,pitfall,
oban_1324,ev_1324,trap.type,pitfall,
