id	element	context	subject	predicate_label	predicate_uri	object_label	object_uri
/dataset	/dataset	eml	dataset	is about	http://purl.obolibrary.org/obo/IAO_0000136	ecological community	http://purl.obolibrary.org/obo/PCO_0000002
/location	/dataTable	dataset	location	is about	http://purl.obolibrary.org/obo/IAO_0000136	study location identifier	http://purl.dataone.org/odo/ECSO_00002767
/location/location_id	/dataTable/attribute	location	location_id	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	study location identifier	http://purl.dataone.org/odo/ECSO_00002767
/location/location_name	/dataTable/attribute	location	location_name	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	study location name	http://purl.dataone.org/odo/ECSO_00002768
/location/latitude	/dataTable/attribute	location	latitude	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	latitude coordinate	http://purl.dataone.org/odo/ECSO_00002130
/location/longitude	/dataTable/attribute	location	longitude	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	longitude coordinate	http://purl.dataone.org/odo/ECSO_00002132
/location/elevation	/dataTable/attribute	location	elevation	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	elevation	http://purl.dataone.org/odo/ECSO_00001567
/location/parent_location_id	/dataTable/attribute	location	parent_location_id	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	study location identifier	http://purl.dataone.org/odo/ECSO_00002767
/taxon	/dataTable	dataset	taxon	is about	http://purl.obolibrary.org/obo/IAO_0000136	Organism	http://purl.dataone.org/odo/ECSO_00000312
/taxon/taxon_id	/dataTable/attribute	taxon	taxon_id	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType		
/taxon/taxon_rank	/dataTable/attribute	taxon	taxon_rank	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	taxonomic classification	http://purl.dataone.org/odo/ECSO_00002730
/taxon/taxon_name	/dataTable/attribute	taxon	taxon_name	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	taxonomic classification	http://purl.dataone.org/odo/ECSO_00002730
/taxon/authority_system	/dataTable/attribute	taxon	authority_system	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType		
