location.location_id
location.location_name   	
location.latitude,http://rs.tdwg.org/dwc/terms/decimalLatitude 	  
location.longitude,http://rs.tdwg.org/dwc/terms/decimalLongitude 	
location.elevation	  
location.parent_location_id	
taxon.taxon_id           
taxon.taxon_rank,http://rs.tdwg.org/dwc/terms/taxonRank         
taxon.taxon_name,http://rs.tdwg.org/dwc/terms/scientificName         
taxon.authority_system,http://rs.tdwg.org/dwc/terms/nameAccordingTo   
taxon.authority_taxon_id,http://rs.tdwg.org/dwc/terms/taxonID 
observation.observation_id         
observation.event_id             
observation.package_id           
observation.location_id 
observation.observation_datetime,http://rs.tdwg.org/dwc/terms/eventDate
observation.taxon_id             
observation.variable_name,http://rs.tdwg.org/dwc/terms/measurementType        
observation.value,http://rs.tdwg.org/dwc/terms/measurementValue                
observation.unit,http://rs.tdwg.org/dwc/terms/measurementUnit
location_ancillary.location_ancillary_id 
location_ancillary.location_id           
location_ancillary.datetime,http://rs.tdwg.org/dwc/terms/eventDate              
location_ancillary.variable_name,http://rs.tdwg.org/dwc/terms/measurementType         
location_ancillary.value,http://rs.tdwg.org/dwc/terms/measurementValue                 
location_ancillary.unit,http://rs.tdwg.org/dwc/terms/measurementUnit                  
taxon_ancillary.taxon_ancillary_id 
taxon_ancillary.taxon_id           
taxon_ancillary.datetime,http://rs.tdwg.org/dwc/terms/eventDate           
taxon_ancillary.variable_name,http://rs.tdwg.org/dwc/terms/measurementType      
taxon_ancillary.value,http://rs.tdwg.org/dwc/terms/measurementValue              
taxon_ancillary.unit,http://rs.tdwg.org/dwc/terms/measurementUnit               
taxon_ancillary.author,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship           
observation_ancillary.observation_ancillary_id 
observation_ancillary.event_id             
observation_ancillary.variable_name,http://rs.tdwg.org/dwc/terms/measurementType            
observation_ancillary.value,http://rs.tdwg.org/dwc/terms/measurementValue                    
observation_ancillary.unit,http://rs.tdwg.org/dwc/terms/measurementUnit        
dataset_summary.package_id                  
dataset_summary.original_package_id         
dataset_summary.length_of_survey_years      
dataset_summary.number_of_years_sampled     
dataset_summary.std_dev_interval_betw_years 
dataset_summary.max_num_taxa                
dataset_summary.geo_extent_bounding_box_m2
variable_mapping.variable_mapping_id  
variable_mapping.table_name           
variable_mapping.variable_name,http://rs.tdwg.org/dwc/terms/measurementType        
variable_mapping.mapped_system        
variable_mapping.mapped_id     
variable_mapping.mapped_label  
